"filename", "language", "JavaScript", "YAML", "Ignore", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "Vue", "SVG", "CSS", "SCSS", "comment", "blank", "total"
"e:\MyDrive\my-drive\src\main\utils\api\ws\index.ts", "TypeScript", 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, -8, -4, -27
"e:\MyDrive\my-drive\src\main\utils\cos\api.ts", "TypeScript", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -3, -8
"e:\MyDrive\my-drive\src\main\utils\cos\index.ts", "TypeScript", 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, -5, -21
"e:\MyDrive\my-drive\src\main\utils\http\index.ts", "TypeScript", 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, 0, 0, 0, -9, -36
"e:\MyDrive\my-drive\src\preload\api\handle\index.ts", "TypeScript", 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, 0, -5, -7, -44
"e:\MyDrive\my-drive\src\preload\api\index.ts", "TypeScript", 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -3, -12
"e:\MyDrive\my-drive\src\preload\api\on\context-menu.ts", "TypeScript", 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, -4, -5, -39
"e:\MyDrive\my-drive\src\preload\api\on\index.ts", "TypeScript", 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, -10, -45
"e:\MyDrive\my-drive\src\preload\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, -2, -2, -28
"e:\MyDrive\my-drive\src\preload\index.ts", "TypeScript", 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, -6, -3, -24
"e:\MyDrive\my-drive\src\preload\typings\menu.d.ts", "TypeScript", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"e:\MyDrive\my-drive\src\renderer\auto-imports.d.ts", "TypeScript", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -5, -2, -10
"e:\MyDrive\my-drive\src\renderer\components.d.ts", "TypeScript", 0, 0, 0, 0, 0, -44, 0, 0, 0, 0, 0, 0, -5, -2, -51
"e:\MyDrive\my-drive\src\renderer\index.html", "HTML", 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, -2, -2, -19
"e:\MyDrive\my-drive\src\renderer\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, -5, -24
"e:\MyDrive\my-drive\src\renderer\src\assets\css\element-plus.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -81, -6, -13, -100
"e:\MyDrive\my-drive\src\renderer\src\assets\css\font.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, -1, -2, -13
"e:\MyDrive\my-drive\src\renderer\src\assets\css\scrollbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, 0, -4, -25
"e:\MyDrive\my-drive\src\renderer\src\assets\css\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, -3, -6, -18
