"filename", "language", "JavaScript", "YAML", "TypeScript", "Ignore", "JSON", "JSON with Comments", "Markdown", "SVG", "Vue", "CSS", "SCSS", "HTML", "comment", "blank", "total"
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\transition.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"e:\MyDrive\server-monitor\src\renderer\src\assets\icons.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"e:\MyDrive\server-monitor\src\renderer\src\components\Versions.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"e:\MyDrive\server-monitor\src\renderer\src\components\card\card-2.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 10, 260
"e:\MyDrive\server-monitor\src\renderer\src\components\card\card.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 46
"e:\MyDrive\server-monitor\src\renderer\src\components\card\social-card.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 7, 10, 96
"e:\MyDrive\server-monitor\src\renderer\src\components\checkbox\checkbox-1.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 1, 15, 132
"e:\MyDrive\server-monitor\src\renderer\src\components\editor\custom-editor.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 7, 22, 118
"e:\MyDrive\server-monitor\src\renderer\src\components\editor\editor.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 7, 11, 78
"e:\MyDrive\server-monitor\src\renderer\src\components\editor\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\MyDrive\server-monitor\src\renderer\src\components\editor\init.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 25
"e:\MyDrive\server-monitor\src\renderer\src\components\explorer\explorer-row.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 19, 205
"e:\MyDrive\server-monitor\src\renderer\src\components\explorer\explorer.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"e:\MyDrive\server-monitor\src\renderer\src\components\explorer\explorer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 20, 124
"e:\MyDrive\server-monitor\src\renderer\src\components\explorer\index.d.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\MyDrive\server-monitor\src\renderer\src\components\icon\arrow-right.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"e:\MyDrive\server-monitor\src\renderer\src\components\icon\brand.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 10, 3, 52
"e:\MyDrive\server-monitor\src\renderer\src\components\loading\loading-1.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 7, 4, 77
"e:\MyDrive\server-monitor\src\renderer\src\components\loading\loading-2.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 503, 0, 0, 0, 0, 65, 568
"e:\MyDrive\server-monitor\src\renderer\src\components\loading\loading-3.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 7, 6, 127
"e:\MyDrive\server-monitor\src\renderer\src\components\menu\left-menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 7, 7, 78
"e:\MyDrive\server-monitor\src\renderer\src\components\menu\menu-item.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 6, 75
"e:\MyDrive\server-monitor\src\renderer\src\components\menu\menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"e:\MyDrive\server-monitor\src\renderer\src\components\pagination\pagination-1.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 18, 175
"e:\MyDrive\server-monitor\src\renderer\src\components\progress\circle-progress.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"e:\MyDrive\server-monitor\src\renderer\src\components\resize\resize-layout.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 18, 135
"e:\MyDrive\server-monitor\src\renderer\src\components\tabbed\tabbed.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 222, 0, 0, 0, 0, 20, 242
"e:\MyDrive\server-monitor\src\renderer\src\composables\common\drag.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 67
"e:\MyDrive\server-monitor\src\renderer\src\composables\common\header.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 64
"e:\MyDrive\server-monitor\src\renderer\src\composables\editor\editor.ts", "TypeScript", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 26, 189
"e:\MyDrive\server-monitor\src\renderer\src\composables\file\index.ts", "TypeScript", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 28, 169
"e:\MyDrive\server-monitor\src\renderer\src\composables\menu\index.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"e:\MyDrive\server-monitor\src\renderer\src\directive\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\MyDrive\server-monitor\src\renderer\src\directive\loading.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 44
"e:\MyDrive\server-monitor\src\renderer\src\layouts\common\common-layouts.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"e:\MyDrive\server-monitor\src\renderer\src\main.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 25
"e:\MyDrive\server-monitor\src\renderer\src\plugins\i18n\index.json", "JSON", 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 0, 0, 0, 1, 319
"e:\MyDrive\server-monitor\src\renderer\src\plugins\i18n\index.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\MyDrive\server-monitor\src\renderer\src\plugins\index.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\MyDrive\server-monitor\src\renderer\src\plugins\pinia\index.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"e:\MyDrive\server-monitor\src\renderer\src\plugins\style\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\MyDrive\server-monitor\src\renderer\src\router\index.ts", "TypeScript", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 107
"e:\MyDrive\server-monitor\src\renderer\src\store\config\index.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 24, 180
"e:\MyDrive\server-monitor\src\renderer\src\store\config\tencent.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 11, 83
"e:\MyDrive\server-monitor\src\renderer\src\store\firewall\index.ts", "TypeScript", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 13, 164
"e:\MyDrive\server-monitor\src\renderer\src\store\index.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\MyDrive\server-monitor\src\renderer\src\store\server\server-info.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22, 129
"e:\MyDrive\server-monitor\src\renderer\src\typings\electron.d.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\MyDrive\server-monitor\src\renderer\src\typings\env.d.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 20
"e:\MyDrive\server-monitor\src\renderer\src\typings\file.d.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\MyDrive\server-monitor\src\renderer\src\typings\menu.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\MyDrive\server-monitor\src\renderer\src\typings\os.d.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 65
"e:\MyDrive\server-monitor\src\renderer\src\typings\setting.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"e:\MyDrive\server-monitor\src\renderer\src\typings\tencent.d.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 55
"e:\MyDrive\server-monitor\src\renderer\src\typings\vue-router.d.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"e:\MyDrive\server-monitor\src\renderer\src\utils\common\color.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"e:\MyDrive\server-monitor\src\renderer\src\utils\common\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\MyDrive\server-monitor\src\renderer\src\utils\file\index.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 82
"e:\MyDrive\server-monitor\src\renderer\src\utils\img\img.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\MyDrive\server-monitor\src\renderer\src\utils\img\index.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"e:\MyDrive\server-monitor\src\renderer\src\utils\os\index.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 45
"e:\MyDrive\server-monitor\src\renderer\src\utils\store\index.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"e:\MyDrive\server-monitor\src\renderer\src\utils\time\index.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 39
"e:\MyDrive\server-monitor\src\renderer\src\utils\windows\index.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 18
"e:\MyDrive\server-monitor\src\renderer\src\views\editor\editor.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 7, 15, 162
"e:\MyDrive\server-monitor\src\renderer\src\views\file\components\file-list.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 222, 0, 0, 0, 0, 25, 247
"e:\MyDrive\server-monitor\src\renderer\src\views\file\file.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 7, 7, 82
"e:\MyDrive\server-monitor\src\renderer\src\views\firewall\components\add-rules.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 7, 21, 205
"e:\MyDrive\server-monitor\src\renderer\src\views\firewall\components\edit-rules.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 19, 203
"e:\MyDrive\server-monitor\src\renderer\src\views\firewall\components\firewall-table.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 26, 213
"e:\MyDrive\server-monitor\src\renderer\src\views\firewall\firewall-item.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 329, 0, 0, 0, 0, 36, 365
"e:\MyDrive\server-monitor\src\renderer\src\views\firewall\firewall.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 12, 88
"e:\MyDrive\server-monitor\src\renderer\src\views\home\components\header.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 147, 15, 279
"e:\MyDrive\server-monitor\src\renderer\src\views\home\home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 8, 9, 104
"e:\MyDrive\server-monitor\src\renderer\src\views\index\components\network-chart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 17, 235
"e:\MyDrive\server-monitor\src\renderer\src\views\index\dashbard.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 13, 162
"e:\MyDrive\server-monitor\src\renderer\src\views\index\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 13, 206
"e:\MyDrive\server-monitor\src\renderer\src\views\index\processor.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 13, 198
"e:\MyDrive\server-monitor\src\renderer\src\views\log\components\mysql-log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 12, 120
"e:\MyDrive\server-monitor\src\renderer\src\views\log\components\nginx-log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 14, 183
"e:\MyDrive\server-monitor\src\renderer\src\views\log\components\redis-log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"e:\MyDrive\server-monitor\src\renderer\src\views\log\log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 1, 6, 68
"e:\MyDrive\server-monitor\src\renderer\src\views\setting\components\common-setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 6, 72
"e:\MyDrive\server-monitor\src\renderer\src\views\setting\components\firewall-config-item.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 11, 124
"e:\MyDrive\server-monitor\src\renderer\src\views\setting\components\firewall-setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 20, 181
"e:\MyDrive\server-monitor\src\renderer\src\views\setting\components\personal-setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 12, 165
"e:\MyDrive\server-monitor\src\renderer\src\views\setting\setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 11, 74
"e:\MyDrive\server-monitor\src\renderer\src\views\terminal\components\terminal-item.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 10, 154
"e:\MyDrive\server-monitor\src\renderer\src\views\terminal\terminal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 11, 72
"e:\MyDrive\server-monitor\src\renderer\src\views\test\test.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 7, 3, 25
"e:\MyDrive\server-monitor\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\MyDrive\server-monitor\tsconfig.node.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 40, 1, 49
"e:\MyDrive\server-monitor\tsconfig.web.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 41, 1, 50
"Total", "-", 18, 4197, 2331, 6, 411, 11, 22, 34, 5800, 134, 121, 15, 984, 1780, 15864
