"filename", "language", "TypeScript", "Vue", "SVG", "CSS", "SCSS", "JSON", "HTML", "comment", "blank", "total"
"e:\MyDrive\server-monitor\src\renderer\src\views\firewall\firewall.vue", "Vue", 0, 76, 0, 0, 0, 0, 0, 0, 12, 88
"e:\MyDrive\server-monitor\src\renderer\src\views\home\components\header.vue", "Vue", 0, 116, 0, 0, 0, 0, 0, 0, 14, 130
"e:\MyDrive\server-monitor\src\renderer\src\views\home\home.vue", "Vue", 0, 78, 0, 0, 0, 0, 0, 1, 8, 87
"e:\MyDrive\server-monitor\src\renderer\src\views\index\components\network-chart.vue", "Vue", 0, 210, 0, 0, 0, 0, 0, 0, 18, 228
"e:\MyDrive\server-monitor\src\renderer\src\views\index\dashbard.vue", "Vue", 0, 136, 0, 0, 0, 0, 0, 0, 12, 148
"e:\MyDrive\server-monitor\src\renderer\src\views\index\index.vue", "Vue", 0, 193, 0, 0, 0, 0, 0, 0, 13, 206
"e:\MyDrive\server-monitor\src\renderer\src\views\index\processor.vue", "Vue", 0, 181, 0, 0, 0, 0, 0, 0, 13, 194
"e:\MyDrive\server-monitor\src\renderer\src\views\log\components\mysql-log.vue", "Vue", 0, 108, 0, 0, 0, 0, 0, 0, 12, 120
"e:\MyDrive\server-monitor\src\renderer\src\views\log\components\nginx-log.vue", "Vue", 0, 169, 0, 0, 0, 0, 0, 0, 14, 183
"e:\MyDrive\server-monitor\src\renderer\src\views\log\components\redis-log.vue", "Vue", 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"e:\MyDrive\server-monitor\src\renderer\src\views\log\log.vue", "Vue", 0, 61, 0, 0, 0, 0, 0, 1, 6, 68
"e:\MyDrive\server-monitor\src\renderer\src\views\setting\components\common-setting.vue", "Vue", 0, 66, 0, 0, 0, 0, 0, 0, 6, 72
"e:\MyDrive\server-monitor\src\renderer\src\views\setting\components\firewall-config-item.vue", "Vue", 0, 113, 0, 0, 0, 0, 0, 0, 11, 124
"e:\MyDrive\server-monitor\src\renderer\src\views\setting\components\firewall-setting.vue", "Vue", 0, 161, 0, 0, 0, 0, 0, 0, 20, 181
"e:\MyDrive\server-monitor\src\renderer\src\views\setting\components\personal-setting.vue", "Vue", 0, 125, 0, 0, 0, 0, 0, 0, 9, 134
"e:\MyDrive\server-monitor\src\renderer\src\views\setting\setting.vue", "Vue", 0, 63, 0, 0, 0, 0, 0, 0, 11, 74
"e:\MyDrive\server-monitor\src\renderer\src\views\terminal\components\terminal-item.vue", "Vue", 0, 144, 0, 0, 0, 0, 0, 0, 10, 154
"e:\MyDrive\server-monitor\src\renderer\src\views\terminal\terminal.vue", "Vue", 0, 61, 0, 0, 0, 0, 0, 0, 11, 72
"e:\MyDrive\server-monitor\src\renderer\src\views\test\kid.vue", "Vue", 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"e:\MyDrive\server-monitor\src\renderer\src\views\test\test.vue", "Vue", 0, 90, 0, 0, 0, 0, 0, 18, 8, 116
"e:\MyDrive\server-monitor\src\renderer\src\views\test\test2.vue", "Vue", 0, 82, 0, 0, 0, 0, 0, 0, 11, 93
"Total", "-", 1857, 5461, 34, 122, 121, 290, 15, 500, 1027, 9427
