"filename", "language", "Ignore", "JSON", "YAML", "JavaScript", "JSON with Comments", "Markdown", "TypeScript", "HTML", "Vue", "SVG", "CSS", "SCSS", "comment", "blank", "total"
"e:\MyDrive\my-drive\src\renderer\src\composables\common\drag.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"e:\MyDrive\my-drive\src\renderer\src\composables\common\navigate-to-view.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"e:\MyDrive\my-drive\src\renderer\src\composables\event-listener.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"e:\MyDrive\my-drive\src\renderer\src\composables\menu\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"e:\MyDrive\my-drive\src\renderer\src\composables\mouse.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"e:\MyDrive\my-drive\src\renderer\src\composables\server\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 10, 59
"e:\MyDrive\my-drive\src\renderer\src\directive\code-line.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 12, 10, 61
"e:\MyDrive\my-drive\src\renderer\src\layouts\common\common-layouts.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"e:\MyDrive\my-drive\src\renderer\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"e:\MyDrive\my-drive\src\renderer\src\plugins\i18n\index.json", "JSON", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 207
"e:\MyDrive\my-drive\src\renderer\src\plugins\i18n\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"e:\MyDrive\my-drive\src\renderer\src\plugins\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"e:\MyDrive\my-drive\src\renderer\src\plugins\pinia\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"e:\MyDrive\my-drive\src\renderer\src\plugins\style\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"e:\MyDrive\my-drive\src\renderer\src\plugins\terminal\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 2, 7
"e:\MyDrive\my-drive\src\renderer\src\router\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 6, 4, 89
"e:\MyDrive\my-drive\src\renderer\src\store\config\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 5, 15, 103
"e:\MyDrive\my-drive\src\renderer\src\store\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"e:\MyDrive\my-drive\src\renderer\src\store\server\server-info.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 41, 18, 205
"e:\MyDrive\my-drive\src\renderer\src\typings\cos.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"e:\MyDrive\my-drive\src\renderer\src\typings\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 2, 9
"e:\MyDrive\my-drive\src\renderer\src\typings\menu.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\MyDrive\my-drive\src\renderer\src\typings\os.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 6, 52
"e:\MyDrive\my-drive\src\renderer\src\typings\setting.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
